controller,split,mean_true_world_score,mean_measured_score,false_positive_rate,mean_config_size,config_id,config_name
no_scaffold,dev,0.1451909840106964,0.15250468254089355,0.0,0.0,0.0,none
full_scaffold,dev,0.07993626594543457,0.0857466459274292,0.0,12.0,4095.0,structured_representation+explicit_state+execution_tool+verifier+retry+decomposition+retrieval+larger_context+parallel_islands+low_discrepancy_search+transport_modeling+adversarial_validation
naive_global_minimal,dev,0.25879573822021484,0.2769828736782074,0.0,3.0,1036.0,execution_tool+verifier+transport_modeling
robust_global_minimal,dev,0.22385653853416443,0.2252640724182129,0.0,1.0,1024.0,transport_modeling
global_utility,dev,0.22385653853416443,0.2252640724182129,0.0,1.0,1024.0,transport_modeling
conditional,dev,0.31782105565071106,0.299111545085907,0.0,2.283333333333333,,policy
family_oracle,dev,0.31930825114250183,0.29774487018585205,0.0,1.9,,policy
no_scaffold,sealed_iid,0.16065077483654022,0.1658961921930313,0.0,0.0,0.0,none
full_scaffold,sealed_iid,0.07497234642505646,0.08140318840742111,0.0,12.0,4095.0,structured_representation+explicit_state+execution_tool+verifier+retry+decomposition+retrieval+larger_context+parallel_islands+low_discrepancy_search+transport_modeling+adversarial_validation
naive_global_minimal,sealed_iid,0.25544923543930054,0.2809993326663971,0.0,3.0,1036.0,execution_tool+verifier+transport_modeling
robust_global_minimal,sealed_iid,0.20933006703853607,0.20811308920383453,0.0,1.0,1024.0,transport_modeling
global_utility,sealed_iid,0.20933006703853607,0.20811308920383453,0.0,1.0,1024.0,transport_modeling
conditional,sealed_iid,0.3036114275455475,0.2798427641391754,0.0,2.175,,policy
family_oracle,sealed_iid,0.30835574865341187,0.2814103364944458,0.0,1.9333333333333333,,policy
no_scaffold,sealed_shift,0.1298859417438507,0.13072125613689423,0.0,0.0,0.0,none
full_scaffold,sealed_shift,0.06503863632678986,0.07630573213100433,0.0,12.0,4095.0,structured_representation+explicit_state+execution_tool+verifier+retry+decomposition+retrieval+larger_context+parallel_islands+low_discrepancy_search+transport_modeling+adversarial_validation
naive_global_minimal,sealed_shift,0.2166309952735901,0.23735199868679047,0.0,3.0,1036.0,execution_tool+verifier+transport_modeling
robust_global_minimal,sealed_shift,0.18707945942878723,0.19238735735416412,0.0,1.0,1024.0,transport_modeling
global_utility,sealed_shift,0.18707945942878723,0.19238735735416412,0.0,1.0,1024.0,transport_modeling
conditional,sealed_shift,0.2676474452018738,0.24186725914478302,0.0,1.9833333333333334,,policy
family_oracle,sealed_shift,0.2744845151901245,0.24910421669483185,0.0,1.75,,policy
no_scaffold,null,0.5019310116767883,0.49854525923728943,0.0,0.0,0.0,none
full_scaffold,null,0.5032537579536438,0.4987219274044037,0.0,12.0,4095.0,structured_representation+explicit_state+execution_tool+verifier+retry+decomposition+retrieval+larger_context+parallel_islands+low_discrepancy_search+transport_modeling+adversarial_validation
naive_global_minimal,null,0.49628037214279175,0.505473792552948,0.0,3.0,1036.0,execution_tool+verifier+transport_modeling
robust_global_minimal,null,0.5012800097465515,0.5010290145874023,0.0,1.0,1024.0,transport_modeling
global_utility,null,0.5012800097465515,0.5010290145874023,0.0,1.0,1024.0,transport_modeling
conditional,null,0.49641942977905273,0.5065094828605652,0.0,2.7,,policy
family_oracle,null,0.5019310116767883,0.49854525923728943,0.0,0.0,,policy
